key,category,exerciseName,language_en,name_en,language_fr,name_fr
CALF_RAISE_WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE,CALF_RAISE,WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE,en,Weighted Single-leg Bent-knee Calf Raise,fr,Extension des mollets unilatérale genou plié avec poids
CALF_RAISE_WEIGHTED_SINGLE_LEG_DONKEY_CALF_RAISE,CALF_RAISE,WEIGHTED_SINGLE_LEG_DONKEY_CALF_RAISE,en,Weighted Single-leg Donkey Calf Raise,fr,Chameau sur une jambe avec poids
CALF_RAISE_WEIGHTED_STANDING_CALF_RAISE,CALF_RAISE,WEIGHTED_STANDING_CALF_RAISE,en,Weighted Standing Calf Raise,fr,Extension des mollets debout avec poids
CALF_RAISE__3_WAY_CALF_RAISE,CALF_RAISE,_3_WAY_CALF_RAISE,en,3-way Calf Raise,fr,3 exercices pour mollets
CALF_RAISE__3_WAY_SINGLE_LEG_CALF_RAISE,CALF_RAISE,_3_WAY_SINGLE_LEG_CALF_RAISE,en,3-way Single-leg Calf Raise,fr,3 exercices de mollet sur une jambe
CALF_RAISE__3_WAY_WEIGHTED_CALF_RAISE,CALF_RAISE,_3_WAY_WEIGHTED_CALF_RAISE,en,3-way Weighted Calf Raise,fr,Extension des mollets sur 3 angles avec poids
CALF_RAISE__3_WAY_WEIGHTED_SINGLE_LEG_CALF_RAISE,CALF_RAISE,_3_WAY_WEIGHTED_SINGLE_LEG_CALF_RAISE,en,3-way Weighted Single-leg Calf Raise,fr,Extension des mollets sur une jambe sur 3 angles avec poids
CARDIO_BOB_AND_WEAVE_CIRCLE,CARDIO,BOB_AND_WEAVE_CIRCLE,en,Bob and Weave Circle,fr,Flexions latérales et circulaires
CARDIO_BUTTERFLY_ARMS_WHEELCHAIR,CARDIO,BUTTERFLY_ARMS_WHEELCHAIR,en,Butterfly Arms,fr,Papillon
CARDIO_CARDIO,CARDIO,CARDIO,en,Cardio,fr,Cardio
CARDIO_CARDIO_CORE_CRAWL,CARDIO,CARDIO_CORE_CRAWL,en,Cardio Core Crawl,fr,Exercice de cardio et de gainage rampant
CARDIO_DOUBLE_PUNCH_DOWN_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_DOWN_WHEELCHAIR,en,Double Punch Down,fr,Extension deux mains vers le bas
CARDIO_DOUBLE_PUNCH_FORWARD_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_FORWARD_WHEELCHAIR,en,Double Punch Forward,fr,Extension deux mains vers l'avant
CARDIO_DOUBLE_PUNCH_SIDEWAYS_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_SIDEWAYS_WHEELCHAIR,en,Double Punch Sideways,fr,Extension deux mains sur le côté
CARDIO_DOUBLE_PUNCH_UP_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_UP_WHEELCHAIR,en,Double Punch Up,fr,Extension deux mains vers le haut
CARDIO_DOUBLE_UNDER,CARDIO,DOUBLE_UNDER,en,Double Under,fr,Double Under
CARDIO_JUMPING_JACKS,CARDIO,JUMPING_JACKS,en,Jumping Jacks,fr,Écartés-sautés
CARDIO_JUMP_ROPE,CARDIO,JUMP_ROPE,en,Jump Rope,fr,Corde à sauter
CARDIO_JUMP_ROPE_CROSSOVER,CARDIO,JUMP_ROPE_CROSSOVER,en,Jump Rope Crossover,fr,Sauts croisés à la corde
CARDIO_JUMP_ROPE_JOG,CARDIO,JUMP_ROPE_JOG,en,Jump Rope Jog,fr,Course à la corde à sauter
CARDIO_POLE_DD_FF_UU_WHEELCHAIR,CARDIO,POLE_DD_FF_UU_WHEELCHAIR,en,Downward Forward Upper,fr,"Barre en bas, en avant, en haut"
CARDIO_POLE_HANDCYCLE_BACKWARD_WHEELCHAIR,CARDIO,POLE_HANDCYCLE_BACKWARD_WHEELCHAIR,en,Handcycle Backward,fr,Tour de roue à la main vers l'arrière
CARDIO_POLE_HANDCYCLE_FORWARD_WHEELCHAIR,CARDIO,POLE_HANDCYCLE_FORWARD_WHEELCHAIR,en,Handcycle Forward,fr,Tour de roue à la main vers l'avant
CARDIO_POLE_PADDLE_BACKWARD_WHEELCHAIR,CARDIO,POLE_PADDLE_BACKWARD_WHEELCHAIR,en,Paddle Backward,fr,Pagayer vers l'arrière
